Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Test,Electronegativity,dataset
1696,ID_1846,SiO2,598.2,87.0,primary alveolar epithelial cells,No,1.679564727035359e-10,82.03,Uncoated,human,lung,Vialight,2.93,Small
1697,ID_1847,SiO2,598.2,87.0,primary alveolar Macrophage,No,2.519347090553039e-11,87.7,Uncoated,human,lung,Vialight,2.93,Small
1698,ID_1848,SiO2,598.2,87.0,primary alveolar Macrophage,No,1.007738836221215e-10,69.93,Uncoated,human,lung,Vialight,2.93,Small
1699,ID_1849,SiO2,598.2,87.0,primary tissue Macrophage,No,2.519347090553039e-11,115.56,Uncoated,human,lung,Vialight,2.93,Small
1700,ID_1850,SiO2,598.2,87.0,primary tissue Macrophage,No,1.007738836221215e-10,68.15,Uncoated,human,lung,Vialight,2.93,Small
1701,ID_1851,SiO2,14.0,-35.9,RAW 264.7,Yes,3.930729146901029e-08,111.0,Uncoated,mouse,blood,WST-1,2.93,Small
1702,ID_1852,SiO2,598.2,87.0,A549,Yes,2.519347090553039e-11,121.21,Uncoated,human,lung,Vialight,2.93,Small
1703,ID_1853,SiO2,14.0,-35.9,RAW 264.7,Yes,1.572291658760412e-06,75.09,Uncoated,mouse,blood,WST-1,2.93,Small
1704,ID_1854,SiO2,14.0,-35.9,RAW 264.7,Yes,3.144583317520823e-06,64.69,Uncoated,mouse,blood,WST-1,2.93,Small
1705,ID_1855,SiO2,240.0,58.0,primary tissue Macrophage,No,1.56046307567946e-09,108.44,Uncoated,human,lung,Vialight,2.93,Small
1706,ID_1856,SiO2,14.23,-35.9,HepG2,Yes,0.01,91.18,Uncoated,human,liver,MTT,2.93,Small
1707,ID_1857,SiO2,14.23,-35.9,HepG2,Yes,0.01,92.46,Uncoated,human,liver,NRU,2.93,Small
1708,ID_1858,SiO2,14.23,-35.9,HepG2,Yes,0.005,95.61,Uncoated,human,liver,NRU,2.93,Small
1709,ID_1859,SiO2,19.1,-35.9,THP-1,Yes,0.01,92.57,Uncoated,human,blood,MTT,2.93,Small
1710,ID_1860,SiO2,14.23,-35.9,HepG2,Yes,0.2,58.85,Uncoated,human,liver,NRU,2.93,Small
1711,ID_1861,SiO2,100.0,-35.9,HaCat,No,0.1,9.51,Uncoated,human,skin,CCK-8,2.93,Small
1712,ID_1862,SiO2,100.0,-35.9,HaCat,No,0.01,94.15,Uncoated,human,skin,CCK-8,2.93,Small
1713,ID_1863,SiO2,100.0,-35.9,HaCat,No,0.05,20.84,Uncoated,human,skin,CCK-8,2.93,Small
1714,ID_1864,SiO2,30.0,-35.9,HaCat,No,0.06,16.45,Uncoated,human,skin,CCK-8,2.93,Small
1715,ID_1865,SiO2,100.0,-35.9,HaCat,No,0.06,17.18,Uncoated,human,skin,CCK-8,2.93,Small
1716,ID_1866,SiO2,15.0,-35.9,HaCat,No,0.08,7.68,Uncoated,human,skin,CCK-8,2.93,Small
1717,ID_1867,SiO2,30.0,-35.9,HaCat,No,0.08,10.97,Uncoated,human,skin,CCK-8,2.93,Small
1718,ID_1868,SiO2,100.0,-35.9,HaCat,No,0.08,11.34,Uncoated,human,skin,CCK-8,2.93,Small
1719,ID_1869,SiO2,15.0,-35.9,HaCat,No,0.1,7.5,Uncoated,human,skin,CCK-8,2.93,Small
1720,ID_1870,SiO2,30.0,-35.9,HaCat,No,0.1,7.68,Uncoated,human,skin,CCK-8,2.93,Small
1721,ID_1871,SiO2,19.1,-35.9,L-132,Yes,0.4,35.27,Uncoated,human,lung,MTT,2.93,Small
1722,ID_1872,SiO2,15.0,-35.9,HaCat,No,0.06,7.86,Uncoated,human,skin,CCK-8,2.93,Small
1723,ID_1873,SiO2,15.0,-35.9,HaCat,No,0.01,85.19,Uncoated,human,skin,CCK-8,2.93,Small
1724,ID_1874,SiO2,100.0,-35.9,HaCat,No,0.005,98.36,Uncoated,human,skin,CCK-8,2.93,Small
1725,ID_1875,SiO2,30.0,-35.9,HaCat,No,0.05,19.93,Uncoated,human,skin,CCK-8,2.93,Small
1726,ID_1876,SiO2,15.0,-35.9,HaCat,No,0.05,10.24,Uncoated,human,skin,CCK-8,2.93,Small
