PC1,PC2
-0.15947936904648924,-0.9977308969622422
0.9908396546233769,-0.6671672200245808
0.5573589076037397,-0.7944559370070153
0.6536288535995609,0.16649433974532618
0.10743787628270379,-0.9176216436189165
0.7005548314116474,0.17776727101362738
0.6813408106611805,0.17481146510060513
0.6838257534351573,0.1736833628477436
0.6850682248221457,0.17311931172131284
0.6219682793010691,0.16886017334466158
0.702784181752684,0.12618400371287675
0.7291839079381733,0.13504424344101745
0.9736745798397499,-0.6713819829002707
0.7435885927073023,0.1975538692336017
-0.3524394719256519,-1.063451491292636
0.8517439517825556,-0.7061028369459024
0.5145443486553836,-0.22157019210597548
-0.3878893763693536,-1.0662830623354886
-0.3189249152522312,-1.0574529669638097
0.2056178990057545,-0.016158383516969733
0.4635614536128251,0.05438664153643792
0.6810894463488291,0.18660407199437562
0.6693993760048923,0.17528763181298718
0.688002841874232,0.17681092506644308
0.6961425437234223,0.17644302135038908
0.8329786492033847,-0.711734823655959
0.4947745845491055,0.0646915172608385
0.9170473145288129,-0.6883773926098936
1.1387646513487748,-0.62277083408155
0.25612912505715835,0.00680936002555844
0.36789591062209837,0.032545739472879656
-0.15259597540639525,-1.0034729265058888
0.5494237657138487,-0.7968374927254873
0.8338940034716688,-0.7133340028641227
1.0910491607757153,-0.6370915735227352
0.3457351888599283,0.033702619984918594
0.49114348806354924,0.06953574884088232
0.6932144103760848,0.12612270398076664
0.6956993531500616,0.12499460172790511
0.753795808187698,0.1414940047601964
0.43874498106987014,0.11386979009572473
0.4967097606341201,0.12345869835296691
0.5193941566182607,0.12620679169020843
0.51755401106544,0.12378061071606994
0.6053505686052401,0.1491938365803563
