No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
ID_0082,Ag,14.7,-20.0,Caco-2,Yes,1.027616289471819e-06,18.057663,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0083,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359096e-07,39.30197,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0084,Ag,14.7,-20.0,Caco-2,Yes,2.569040723679548e-07,72.23065,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0085,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,10.983051,0,human,cervix,24,MTT,1.93,Small
ID_0086,Ag,14.7,-20.0,Caco-2,Yes,3.596657013151367e-07,43.12595,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0087,Ag,14.7,-20.0,Caco-2,Yes,1.541424434207729e-07,92.2003,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0088,Ag,36.4,-23.1,KEC,No,9.137188863135807e-10,84.47542,0,human,skin,24,MTS,1.93,Small
ID_0089,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.2542372,0,human,cervix,72,MTT,1.93,Small
ID_0090,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,4.0677967,0,human,cervix,48,MTT,1.93,Small
ID_0091,Ag,14.7,-20.0,Caco-2,Yes,5.138081447359097e-08,96.874054,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0092,Ag,14.7,-20.0,Caco-2,Yes,2.0552325789436383e-08,96.02428,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0093,Ag,27.02,-18.4,KEC,No,2.2305750614726665e-08,5.084746,PVP,human,skin,48,MTS,1.93,Small
ID_0094,Ag,27.02,-18.4,KEC,No,2.2305750614726665e-08,17.288136,PVP,human,skin,24,MTS,1.93,Small
ID_0095,Ag,27.02,-18.4,KEC,No,8.918990787342486e-09,32.542374,PVP,human,skin,48,MTS,1.93,Small
ID_0096,Ag,27.02,-18.4,KEC,No,8.918990787342486e-09,75.254234,PVP,human,skin,24,MTS,1.93,Small
ID_0097,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,77.62712,PVP,human,skin,48,MTS,1.93,Small
ID_0098,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,15.833333,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0099,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.680851,0,human,skin,72,AlamarBlue,1.93,Small
ID_0100,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,7.9166665,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0101,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,57.916668,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0102,Ag,28.41,-33.33,HeLa,Yes,5.6887266880703814e-08,10.833333,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0103,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,67.15232,0,human,cervix,24,NR,1.93,Small
ID_0104,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,100.85107,0,human,skin,24,AlamarBlue,1.93,Small
ID_0105,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,95.932205,PVP,human,skin,24,MTS,1.93,Small
ID_0106,Ag,27.02,-18.4,KEC,No,2.233884520020845e-09,102.71186,PVP,human,skin,24,MTS,1.93,Small
ID_0107,Ag,36.4,-23.1,KEC,No,9.123652287042276e-09,7.9791102,0,human,skin,48,MTS,1.93,Small
ID_0108,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,20.521173,0,human,skin,72,NR,1.93,Small
ID_0109,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,41.49837,0,human,skin,24,NR,1.93,Small
ID_0110,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,35.744682,0,human,skin,72,AlamarBlue,1.93,Small
ID_0111,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,38.723404,0,human,skin,48,AlamarBlue,1.93,Small
ID_0112,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,65.106384,0,human,skin,24,AlamarBlue,1.93,Small
ID_0113,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,55.31915,0,human,skin,72,AlamarBlue,1.93,Small
ID_0114,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,62.12766,0,human,skin,48,AlamarBlue,1.93,Small
ID_0115,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,34.468086,0,human,skin,24,AlamarBlue,1.93,Small
ID_0116,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,25.081432,0,human,skin,72,NR,1.93,Small
ID_0117,Ag,36.4,-23.1,KEC,No,9.123652287042276e-09,26.875563,0,human,skin,24,MTS,1.93,Small
ID_0118,Ag,36.4,-23.1,KEC,No,3.648107257207556e-09,84.273,0,human,skin,48,MTS,1.93,Small
ID_0119,Ag,36.4,-23.1,KEC,No,3.648107257207556e-09,77.49469,0,human,skin,24,MTS,1.93,Small
ID_0120,Ag,36.4,-23.1,KEC,No,1.827437772627162e-09,85.56888,0,human,skin,48,MTS,1.93,Small
ID_0121,Ag,36.4,-23.1,KEC,No,1.827437772627162e-09,82.16748,0,human,skin,24,MTS,1.93,Small
ID_0122,Ag,36.4,-23.1,KEC,No,9.137188863135807e-10,85.84981,0,human,skin,48,MTS,1.93,Small
ID_0123,Ag,14.7,-20.0,Caco-2,Yes,1.027616289471819e-07,100.0607,0,human,colon,24,Promegas CTB Assay,1.93,Small
ID_0124,Ag,27.02,-18.4,KEC,No,2.233884520020845e-09,103.05085,PVP,human,skin,48,MTS,1.93,Small
ID_0125,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,14.468085,0,human,skin,48,AlamarBlue,1.93,Small
ID_0126,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,9.361702,0,human,skin,72,AlamarBlue,1.93,Small
ID_0127,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,9.787234,0,human,skin,24,AlamarBlue,1.93,Small
ID_0128,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,8.936171,0,human,skin,48,AlamarBlue,1.93,Small
ID_0129,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,22.553192,0,human,skin,48,AlamarBlue,1.93,Small
ID_0130,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,17.021276,0,human,skin,72,AlamarBlue,1.93,Small
ID_0131,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,23.829786,0,human,skin,24,AlamarBlue,1.93,Small
ID_0132,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,92.5,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0133,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,4.255319,0,human,skin,48,AlamarBlue,1.93,Small
ID_0134,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,30.198675,0,human,cervix,72,NR,1.93,Small
ID_0135,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,38.762215,0,human,skin,24,NR,1.93,Small
ID_0136,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,32.083332,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0137,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,4.255319,0,human,skin,24,AlamarBlue,1.93,Small
ID_0138,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,3.8297873,0,human,skin,72,AlamarBlue,1.93,Small
ID_0139,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,6.808511,0,human,skin,24,AlamarBlue,1.93,Small
ID_0140,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,0.0,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0141,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,0.8333333,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0142,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,0.8333333,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0143,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,112.638435,0,human,skin,24,NR,1.93,Small
ID_0144,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,68.40391,0,human,skin,24,NR,1.93,Small
ID_0145,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,2.0833333,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0146,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,50.833332,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0147,Ag,100.0,-20.0,hMSC,No,6.522270017270968e-10,88.548386,0,human,bone marrow,24,Live/Dead,1.93,Small
ID_0148,Ag,28.41,-33.33,HaCat,No,1.137745337614076e-06,5.5319147,0,human,skin,48,AlamarBlue,1.93,Small
ID_0149,Ag,28.41,-33.33,HeLa,Yes,8.533090032105572e-08,2.0833333,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0150,Ag,28.41,-33.33,HeLa,Yes,3.555454180043988e-07,0.0,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0151,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,65.667755,0,human,skin,48,NR,1.93,Small
ID_0152,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,92.57329,0,human,skin,72,NR,1.93,Small
ID_0153,Ag,28.41,-33.33,HaCat,No,3.555454180043988e-08,104.42997,0,human,skin,48,NR,1.93,Small
ID_0154,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-07,39.218243,0,human,skin,48,NR,1.93,Small
ID_0155,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.680851,0,human,skin,48,AlamarBlue,1.93,Small
ID_0156,Ag,28.41,-33.33,HaCat,No,5.688726688070381e-07,4.680851,0,human,skin,72,AlamarBlue,1.93,Small
ID_0157,Ag,28.41,-33.33,HaCat,No,1.422181672017595e-06,3.4042554,0,human,skin,72,AlamarBlue,1.93,Small
ID_0158,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,1.25,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0159,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,40.0,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0160,Ag,28.41,-33.33,HaCat,No,8.533090032105572e-07,4.255319,0,human,skin,24,AlamarBlue,1.93,Small
ID_0161,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,1.25,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0162,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,39.166668,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0163,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,0.41666666,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0164,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,1.25,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0165,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,36.25,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0166,Ag,28.41,-33.33,HaCat,No,7.110908360087976e-08,46.970684,0,human,skin,72,NR,1.93,Small
ID_0167,Ag,28.41,-33.33,HeLa,Yes,2.133272508026393e-07,0.0,0,human,cervix,72,AlamarBlue,1.93,Small
ID_0168,Ag,28.41,-33.33,HeLa,Yes,1.422181672017595e-07,1.25,0,human,cervix,48,AlamarBlue,1.93,Small
ID_0169,Ag,28.41,-33.33,HeLa,Yes,1.137745337614076e-07,48.333332,0,human,cervix,24,AlamarBlue,1.93,Small
ID_0170,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-10,26.58145,0,human,heart,24,LDH,2.708,Small
ID_0171,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-10,26.55242,0,human,heart,24,LDH,2.708,Small
ID_0172,Al2O3,45.0,8.667160493827168,SH-SY5Y,Yes,1.347543284854108e-07,38.63421,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
ID_0173,Al2O3,45.0,8.667160493827168,SH-SY5Y,Yes,1.122952737378423e-07,46.724808,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
ID_0174,Al2O3,28.0,8.667160493827168,CHO-K1,No,1.864596723644476e-07,93.91304,0,hamster,ovary,24,NR,2.708,Small
ID_0175,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-12,34.19274,0,human,heart,24,LDH,2.708,Small
ID_0176,Al2O3,45.0,8.667160493827168,SH-SY5Y,Yes,8.983621899027386e-08,57.90178,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
ID_0177,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-11,32.2621,0,human,heart,24,LDH,2.708,Small
ID_0178,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-13,43.594357,0,human,heart,24,LDH,2.708,Small
ID_0179,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-11,36.03871,0,human,heart,24,LDH,2.708,Small
ID_0180,Al2O3,28.0,8.667160493827168,CHO-K1,No,9.322983618222381e-08,99.565216,0,hamster,ovary,24,NR,2.708,Small
ID_0181,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-15,43.65,0,human,heart,24,LDH,2.708,Small
ID_0182,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-10,98.8764,0,human,heart,12,MTT,2.708,Small
ID_0183,Al2O3,239.0,8.667160493827168,HCMEC,No,1.199293001297284e-10,95.505615,0,human,heart,12,MTT,2.708,Small
ID_0184,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-12,37.112904,0,human,heart,12,LDH,2.708,Small
ID_0185,Al2O3,239.0,8.667160493827168,HCMEC,No,1.199293001297284e-10,32.23548,0,human,heart,24,LDH,2.708,Small
ID_0186,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-11,95.505615,0,human,heart,24,MTT,2.708,Small
ID_0187,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-11,96.62921,0,human,heart,12,MTT,2.708,Small
ID_0188,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-13,44.639515,0,human,heart,12,LDH,2.708,Small
ID_0189,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-15,93.25843,0,human,heart,24,MTT,2.708,Small
ID_0190,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486422e-14,95.505615,0,human,heart,12,MTT,2.708,Small
ID_0191,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486422e-14,40.91613,0,human,heart,12,LDH,2.708,Small
ID_0192,Al2O3,28.0,8.667160493827168,CHO-K1,No,3.729193447288952e-08,100.86957,0,hamster,ovary,24,NR,2.708,Small
ID_0193,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-10,93.25843,0,human,heart,12,MTT,2.708,Small
ID_0194,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-15,96.62921,0,human,heart,12,MTT,2.708,Small
ID_0195,Al2O3,28.0,8.667160493827168,CHO-K1,No,3.729193447288952e-07,79.43144,0,hamster,ovary,24,MTT,2.708,Small
ID_0196,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486422e-14,45.495968,0,human,heart,24,LDH,2.708,Small
ID_0197,Al2O3,28.0,8.667160493827168,CHO-K1,No,9.322983618222381e-08,73.54821,0,hamster,ovary,24,MTT,2.708,Small
ID_0198,Al2O3,28.0,8.667160493827168,CHO-K1,No,1.864596723644476e-08,80.66091,0,hamster,ovary,24,MTT,2.708,Small
ID_0199,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-12,101.1236,0,human,heart,12,MTT,2.708,Small
ID_0200,Al2O3,28.0,8.667160493827168,CHO-K1,No,3.729193447288952e-07,76.08696,0,hamster,ovary,24,NR,2.708,Small
ID_0201,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-13,97.75281,0,human,heart,12,MTT,2.708,Small
ID_0202,Al2O3,28.0,8.667160493827168,CHO-K1,No,1.864596723644476e-07,67.09848,0,hamster,ovary,24,MTT,2.708,Small
ID_0203,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-13,94.38202,0,human,heart,24,MTT,2.708,Small
ID_0204,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486422e-14,96.62921,0,human,heart,24,MTT,2.708,Small
ID_0205,Al2O3,239.0,8.667160493827168,HCMEC,No,5.99646500648642e-10,33.22257999999999,0,human,heart,12,LDH,2.708,Small
ID_0206,Al2O3,239.0,8.667160493827168,HCMEC,No,2.99823250324321e-10,33.25161,0,human,heart,12,LDH,2.708,Small
ID_0207,Al2O3,239.0,8.667160493827168,HCMEC,No,5.996465006486421e-11,35.18226,0,human,heart,12,LDH,2.708,Small
