Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
56,ID_0057,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,35.114006,0,human,skin,24,NR,1.93,Small
57,ID_0058,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,22.345278,0,human,skin,72,NR,1.93,Small
58,ID_0059,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,27.019867,0,human,cervix,48,NR,1.93,Small
59,ID_0060,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,29.403973,0,human,cervix,48,NR,1.93,Small
60,ID_0061,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,60.7947,0,human,cervix,24,NR,1.93,Small
61,ID_0062,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,6.915254,0,human,cervix,48,MTT,1.93,Small
62,ID_0063,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,58.98305,0,human,cervix,24,MTT,1.93,Small
63,ID_0064,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,28.729641,0,human,skin,48,NR,1.93,Small
64,ID_0065,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,45.29801,0,human,cervix,48,NR,1.93,Small
65,ID_0066,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,55.016613,0,human,skin,72,MTT,1.93,Small
66,ID_0067,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,40.13245,0,human,cervix,72,NR,1.93,Small
67,ID_0068,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,33.377483,0,human,cervix,48,NR,1.93,Small
68,ID_0069,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,70.166115,0,human,skin,24,MTT,1.93,Small
69,ID_0070,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,19.86755,0,human,cervix,72,NR,1.93,Small
70,ID_0071,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,22.251656,0,human,cervix,48,NR,1.93,Small
71,ID_0072,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,43.311256,0,human,cervix,24,NR,1.93,Small
72,ID_0073,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,34.201954,0,human,skin,24,NR,1.93,Small
73,ID_0074,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,25.430464,0,human,cervix,72,NR,1.93,Small
74,ID_0075,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,49.668873,0,human,cervix,24,NR,1.93,Small
75,ID_0076,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,25.827814,0,human,cervix,72,NR,1.93,Small
76,ID_0077,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,26.622517,0,human,cervix,48,NR,1.93,Small
77,ID_0078,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,53.245033,0,human,cervix,24,NR,1.93,Small
78,ID_0079,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,27.81457,0,human,cervix,72,NR,1.93,Small
79,ID_0080,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,28.609272,0,human,cervix,48,NR,1.93,Small
80,ID_0082,Ag,14.7,-20.0,Caco-2,Yes,1.02761628947182e-06,18.057663,0,human,colon,24,Promegas CTB Assay,1.93,Small
81,ID_0083,Ag,14.7,-20.0,Caco-2,Yes,5.1380814473591e-07,39.30197,0,human,colon,24,Promegas CTB Assay,1.93,Small
