Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
1550,ID_1646,SiO2,100.33,-35.9,A549,Yes,0.05,70.471,0,human,lung,24,MTT,2.92666666666667,Small
1551,ID_1647,SiO2,100.33,-35.9,A549,Yes,0.1,71.464,0,human,lung,24,MTT,2.92666666666667,Small
1552,ID_1648,SiO2,100.33,-35.9,A549,Yes,0.2,65.757,0,human,lung,24,MTT,2.92666666666667,Small
1553,ID_1649,SiO2,100.33,-35.9,A549,Yes,0.5,72.705,0,human,lung,24,MTT,2.92666666666667,Small
1554,ID_1650,SiO2,199.89,-35.9,A549,Yes,0.01,75.186,0,human,lung,24,MTT,2.92666666666667,Small
1555,ID_1651,SiO2,199.89,-35.9,A549,Yes,0.05,63.027,0,human,lung,24,MTT,2.92666666666667,Small
1556,ID_1652,SiO2,19.4,-35.9,A549,Yes,0.064,104.41,0,human,lung,24,CCK-8,2.92666666666667,Small
1557,ID_1653,SiO2,59.72,-35.9,HepG2,Yes,0.1,60.92,0,human,liver,72,MTT,2.92666666666667,Small
1558,ID_1654,SiO2,120.0,-35.9,A549,Yes,0.1,91.27,0,human,lung,96,MTT,2.92666666666667,Small
1559,ID_1655,SiO2,199.89,-35.9,A549,Yes,0.1,62.283,0,human,lung,24,MTT,2.92666666666667,Small
1560,ID_1656,SiO2,59.72,-35.9,A549,Yes,0.05,53.303,0,human,lung,72,MTT,2.92666666666667,Small
1561,ID_1657,SiO2,21.06,-35.9,A549,Yes,0.5,44.647,0,human,lung,72,MTT,2.92666666666667,Small
1562,ID_1658,SiO2,21.06,-35.9,A549,Yes,0.01,76.923,0,human,lung,24,MTT,2.92666666666667,Small
1563,ID_1659,SiO2,19.4,-35.9,16HBE,No,0.016,102.73,0,human,respiratorytract,24,CCK-8,2.92666666666667,Small
1564,ID_1660,SiO2,19.4,-35.9,16HBE,No,0.032,103.64,0,human,respiratorytract,24,CCK-8,2.92666666666667,Small
1565,ID_1661,SiO2,19.4,-35.9,16HBE,No,0.064,106.22,0,human,respiratorytract,24,CCK-8,2.92666666666667,Small
1566,ID_1662,SiO2,19.4,-35.9,16HBE,No,0.128,72.989,0,human,respiratorytract,24,CCK-8,2.92666666666667,Small
1567,ID_1663,SiO2,50.0,-35.9,HaCat,No,0.2,36.126,0,human,skin,4,MTT,2.92666666666667,Small
1568,ID_1664,SiO2,50.0,-35.9,HaCat,No,0.1,52.473,0,human,skin,4,MTT,2.92666666666667,Small
1569,ID_1665,SiO2,50.0,-35.9,HaCat,No,0.075,94.643,0,human,skin,4,MTT,2.92666666666667,Small
1570,ID_1666,SiO2,50.0,-35.9,HaCat,No,0.025,99.588,0,human,skin,4,MTT,2.92666666666667,Small
1571,ID_1667,SiO2,59.72,-35.9,A549,Yes,0.01,96.583,0,human,lung,72,MTT,2.92666666666667,Small
1572,ID_1668,SiO2,19.4,-35.9,A549,Yes,0.032,103.04,0,human,lung,24,CCK-8,2.92666666666667,Small
1573,ID_1669,SiO2,19.4,-35.9,16HBE,No,0.256,20.822,0,human,respiratorytract,24,CCK-8,2.92666666666667,Small
1574,ID_1670,SiO2,21.06,-35.9,A549,Yes,0.2,62.283,0,human,lung,24,MTT,2.92666666666667,Small
1575,ID_1671,SiO2,59.72,-35.9,A549,Yes,0.01,100.99,0,human,lung,24,MTT,2.92666666666667,Small
1576,ID_1672,SiO2,100.0,-35.9,HUVEC,No,0.0125,102.24,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1577,ID_1674,SiO2,21.06,-35.9,A549,Yes,0.2,50.569,0,human,lung,72,MTT,2.92666666666667,Small
1578,ID_1675,SiO2,59.72,-35.9,HepG2,Yes,0.05,65.747,0,human,liver,72,MTT,2.92666666666667,Small
1579,ID_1676,SiO2,199.89,-35.9,NIH3T3,No,0.2,22.676,0,mouse,embryo,72,MTT,2.92666666666667,Small
1580,ID_1677,SiO2,21.06,-35.9,HepG2,Yes,0.5,46.437,0,human,liver,72,MTT,2.92666666666667,Small
1581,ID_1678,SiO2,10.0,-35.9,RAW 264.7,Yes,0.001,95.315,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1582,ID_1679,SiO2,199.89,-35.9,HepG2,Yes,0.05,63.504,0,human,liver,24,MTT,2.92666666666667,Small
1583,ID_1680,SiO2,199.89,-35.9,HepG2,Yes,0.01,64.138,0,human,liver,72,MTT,2.92666666666667,Small
1584,ID_1681,SiO2,100.33,-35.9,HepG2,Yes,0.5,64.477,0,human,liver,24,MTT,2.92666666666667,Small
1585,ID_1682,SiO2,20.0,-35.9,HUVEC,No,0.025,79.291,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1586,ID_1683,SiO2,21.06,-35.9,HepG2,Yes,0.05,61.071,0,human,liver,24,MTT,2.92666666666667,Small
1587,ID_1684,SiO2,21.06,-35.9,HepG2,Yes,0.1,59.611,0,human,liver,24,MTT,2.92666666666667,Small
1588,ID_1685,SiO2,21.06,-35.9,HepG2,Yes,0.2,59.124,0,human,liver,24,MTT,2.92666666666667,Small
1589,ID_1686,SiO2,21.06,-35.9,HepG2,Yes,0.5,58.151,0,human,liver,24,MTT,2.92666666666667,Small
1590,ID_1687,SiO2,21.06,-35.9,NIH3T3,No,0.01,45.578,0,mouse,embryo,72,MTT,2.92666666666667,Small
1591,ID_1688,SiO2,199.89,-35.9,NIH3T3,No,0.5,24.878,0,mouse,embryo,24,MTT,2.92666666666667,Small
1592,ID_1690,SiO2,10.0,-35.9,RAW 264.7,Yes,0.01,86.268,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1593,ID_1691,SiO2,199.89,-35.9,NIH3T3,No,0.1,32.683,0,mouse,embryo,24,MTT,2.92666666666667,Small
1594,ID_1692,SiO2,199.89,-35.9,NIH3T3,No,0.5,12.245,0,mouse,embryo,72,MTT,2.92666666666667,Small
1595,ID_1693,SiO2,20.0,-35.9,HUVEC,No,0.00625,87.687,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1596,ID_1694,SiO2,199.89,-35.9,A549,Yes,0.1,50.114,0,human,lung,72,MTT,2.92666666666667,Small
1597,ID_1695,SiO2,199.89,-35.9,A549,Yes,0.2,50.797,0,human,lung,72,MTT,2.92666666666667,Small
1598,ID_1696,SiO2,199.89,-35.9,A549,Yes,0.5,45.33,0,human,lung,72,MTT,2.92666666666667,Small
1599,ID_1697,SiO2,21.06,-35.9,NIH3T3,No,0.01,65.366,0,mouse,embryo,24,MTT,2.92666666666667,Small
1600,ID_1698,SiO2,21.06,-35.9,NIH3T3,No,0.05,50.0,0,mouse,embryo,24,MTT,2.92666666666667,Small
1601,ID_1699,SiO2,21.06,-35.9,NIH3T3,No,0.1,44.39,0,mouse,embryo,24,MTT,2.92666666666667,Small
1602,ID_1700,SiO2,21.06,-35.9,NIH3T3,No,0.2,38.049,0,mouse,embryo,24,MTT,2.92666666666667,Small
1603,ID_1701,SiO2,21.06,-35.9,NIH3T3,No,0.5,34.146,0,mouse,embryo,24,MTT,2.92666666666667,Small
1604,ID_1702,SiO2,21.06,-35.9,HepG2,Yes,0.01,68.856,0,human,liver,24,MTT,2.92666666666667,Small
1605,ID_1703,SiO2,100.33,-35.9,HepG2,Yes,0.2,63.99,0,human,liver,24,MTT,2.92666666666667,Small
1606,ID_1704,SiO2,20.0,-35.9,HUVEC,No,0.0125,83.582,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1607,ID_1705,SiO2,59.72,-35.9,NIH3T3,No,0.01,87.528,0,mouse,embryo,72,MTT,2.92666666666667,Small
1608,ID_1706,SiO2,20.0,-35.9,HFL1,No,0.75,56.425,0,human,lung,48,MTT,2.92666666666667,Small
1609,ID_1707,SiO2,10.0,-35.9,RAW 264.7,Yes,0.1,69.467,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1610,ID_1709,SiO2,50.0,-35.9,HUVEC,No,0.0125,94.403,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1611,ID_1710,SiO2,199.89,-35.9,HepG2,Yes,0.1,62.287,0,human,liver,24,MTT,2.92666666666667,Small
1612,ID_1711,SiO2,20.0,-35.9,HUVEC,No,0.05,82.276,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1613,ID_1712,SiO2,199.89,-35.9,HepG2,Yes,0.2,60.584,0,human,liver,24,MTT,2.92666666666667,Small
1614,ID_1713,SiO2,31.4,-35.9,HUVEC,No,0.015,87.083,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1615,ID_1714,SiO2,199.89,-35.9,HepG2,Yes,0.5,58.151,0,human,liver,24,MTT,2.92666666666667,Small
1616,ID_1715,SiO2,21.06,-35.9,HepG2,Yes,0.01,57.011,0,human,liver,72,MTT,2.92666666666667,Small
1617,ID_1716,SiO2,21.06,-35.9,HepG2,Yes,0.05,55.172,0,human,liver,72,MTT,2.92666666666667,Small
1618,ID_1718,SiO2,21.06,-35.9,HepG2,Yes,0.2,49.425,0,human,liver,72,MTT,2.92666666666667,Small
1619,ID_1719,SiO2,31.4,-35.9,HUVEC,No,0.02,82.5,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1620,ID_1720,SiO2,199.89,-35.9,HepG2,Yes,0.01,68.856,0,human,liver,24,MTT,2.92666666666667,Small
1621,ID_1721,SiO2,56.7,-35.9,HUVEC,No,0.025,79.792,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1622,ID_1722,SiO2,56.7,-35.9,HUVEC,No,0.015,86.25,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1623,ID_1723,SiO2,56.7,-35.9,HUVEC,No,0.01,90.625,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1624,ID_1724,SiO2,56.7,-35.9,HUVEC,No,0.005,92.5,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1625,ID_1725,SiO2,31.4,-35.9,HUVEC,No,0.025,74.167,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1626,ID_1726,SiO2,10.0,-35.9,RAW 264.7,Yes,0.1,71.729,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1627,ID_1727,SiO2,20.0,-35.9,HFL1,No,1.0,50.652,0,human,lung,48,MTT,2.92666666666667,Small
1628,ID_1728,SiO2,20.0,-35.9,HFL1,No,1.5,42.458,0,human,lung,48,MTT,2.92666666666667,Small
1629,ID_1729,SiO2,19.1,-35.9,L-132,Yes,0.2,77.832,0,human,lung,24,MTT,2.92666666666667,Small
1630,ID_1730,SiO2,19.1,-35.9,L-132,Yes,0.1,89.482,0,human,lung,24,MTT,2.92666666666667,Small
1631,ID_1731,SiO2,10.0,-35.9,RAW 264.7,Yes,0.01,91.761,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1632,ID_1732,SiO2,10.0,-35.9,RAW 264.7,Yes,0.001,94.023,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1633,ID_1733,SiO2,10.0,-35.9,RAW 264.7,Yes,1.0,9.6931,0,mouse,ascites,24,Live/Dead,2.92666666666667,Small
1634,ID_1734,SiO2,56.7,-35.9,HUVEC,No,0.02,84.167,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1635,ID_1735,SiO2,100.33,-35.9,NIH3T3,No,0.5,17.234,0,mouse,embryo,72,MTT,2.92666666666667,Small
1636,ID_1736,SiO2,59.72,-35.9,HepG2,Yes,0.05,67.397,0,human,liver,24,MTT,2.92666666666667,Small
1637,ID_1737,SiO2,100.33,-35.9,NIH3T3,No,0.2,27.891,0,mouse,embryo,72,MTT,2.92666666666667,Small
1638,ID_1738,SiO2,21.8,-35.9,HUVEC,No,0.025,36.458,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1639,ID_1739,SiO2,31.4,-35.9,HUVEC,No,0.005,97.292,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1640,ID_1740,SiO2,31.4,-35.9,HUVEC,No,0.01,93.958,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1641,ID_1741,SiO2,59.72,-35.9,HepG2,Yes,0.5,53.041,0,human,liver,24,MTT,2.92666666666667,Small
1642,ID_1742,SiO2,100.33,-35.9,HepG2,Yes,0.01,68.613,0,human,liver,24,MTT,2.92666666666667,Small
1643,ID_1743,SiO2,100.33,-35.9,HepG2,Yes,0.05,66.423,0,human,liver,24,MTT,2.92666666666667,Small
1644,ID_1744,SiO2,100.33,-35.9,HepG2,Yes,0.1,65.207,0,human,liver,24,MTT,2.92666666666667,Small
1645,ID_1745,SiO2,100.33,-35.9,HepG2,Yes,0.05,58.161,0,human,liver,72,MTT,2.92666666666667,Small
1646,ID_1746,SiO2,100.33,-35.9,HepG2,Yes,0.01,66.437,0,human,liver,72,MTT,2.92666666666667,Small
1647,ID_1747,SiO2,59.72,-35.9,HepG2,Yes,0.5,42.299,0,human,liver,72,MTT,2.92666666666667,Small
1648,ID_1748,SiO2,59.72,-35.9,HepG2,Yes,0.2,54.713,0,human,liver,72,MTT,2.92666666666667,Small
1649,ID_1749,SiO2,59.72,-35.9,NIH3T3,No,0.5,5.122,0,mouse,embryo,24,MTT,2.92666666666667,Small
1650,ID_1750,SiO2,21.8,-35.9,HUVEC,No,0.02,45.417,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1651,ID_1751,SiO2,100.33,-35.9,NIH3T3,No,0.01,53.902,0,mouse,embryo,24,MTT,2.92666666666667,Small
1652,ID_1752,SiO2,100.33,-35.9,NIH3T3,No,0.1,34.878,0,mouse,embryo,24,MTT,2.92666666666667,Small
1653,ID_1753,SiO2,100.33,-35.9,NIH3T3,No,0.2,30.244,0,mouse,embryo,24,MTT,2.92666666666667,Small
1654,ID_1754,SiO2,100.33,-35.9,NIH3T3,No,0.5,29.024,0,mouse,embryo,24,MTT,2.92666666666667,Small
1655,ID_1755,SiO2,199.89,-35.9,NIH3T3,No,0.01,50.0,0,mouse,embryo,24,MTT,2.92666666666667,Small
1656,ID_1756,SiO2,199.89,-35.9,NIH3T3,No,0.05,40.732,0,mouse,embryo,24,MTT,2.92666666666667,Small
1657,ID_1757,SiO2,59.72,-35.9,HepG2,Yes,0.01,99.757,0,human,liver,24,MTT,2.92666666666667,Small
1658,ID_1758,SiO2,59.72,-35.9,HepG2,Yes,0.1,66.423,0,human,liver,24,MTT,2.92666666666667,Small
1659,ID_1759,SiO2,50.0,-35.9,HUVEC,No,0.00625,96.828,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1660,ID_1760,SiO2,100.33,-35.9,HepG2,Yes,0.1,56.322,0,human,liver,72,MTT,2.92666666666667,Small
1661,ID_1761,SiO2,21.8,-35.9,HUVEC,No,0.015,63.958,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1662,ID_1762,SiO2,21.8,-35.9,HUVEC,No,0.01,80.208,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1663,ID_1763,SiO2,21.8,-35.9,HUVEC,No,0.005,92.5,0,human,umbilical vein,24,CVS,2.92666666666667,Small
1664,ID_1764,SiO2,100.33,-35.9,NIH3T3,No,0.05,44.878,0,mouse,embryo,24,MTT,2.92666666666667,Small
1665,ID_1765,SiO2,18.3,-35.9,SIRC,No,0.025,97.293,0,rabbit,cornea,24,MTT,2.92666666666667,Small
1666,ID_1766,SiO2,59.72,-35.9,NIH3T3,No,0.2,42.683,0,mouse,embryo,24,MTT,2.92666666666667,Small
1667,ID_1767,SiO2,18.3,-35.9,SIRC,No,0.0125,95.601,0,rabbit,cornea,24,MTT,2.92666666666667,Small
1668,ID_1768,SiO2,100.33,-35.9,NIH3T3,No,0.05,34.467,0,mouse,embryo,72,MTT,2.92666666666667,Small
1669,ID_1769,SiO2,100.33,-35.9,NIH3T3,No,0.01,42.63,0,mouse,embryo,72,MTT,2.92666666666667,Small
1670,ID_1770,SiO2,59.72,-35.9,NIH3T3,No,0.5,1.1338,0,mouse,embryo,72,MTT,2.92666666666667,Small
1671,ID_1771,SiO2,59.72,-35.9,NIH3T3,No,0.2,23.356,0,mouse,embryo,72,MTT,2.92666666666667,Small
1672,ID_1772,SiO2,59.72,-35.9,NIH3T3,No,0.1,30.839,0,mouse,embryo,72,MTT,2.92666666666667,Small
1673,ID_1773,SiO2,59.72,-35.9,NIH3T3,No,0.05,32.2,0,mouse,embryo,72,MTT,2.92666666666667,Small
1674,ID_1774,SiO2,21.06,-35.9,NIH3T3,No,0.5,17.007,0,mouse,embryo,72,MTT,2.92666666666667,Small
1675,ID_1775,SiO2,199.89,-35.9,NIH3T3,No,0.1,24.943,0,mouse,embryo,72,MTT,2.92666666666667,Small
1676,ID_1776,SiO2,21.06,-35.9,NIH3T3,No,0.2,27.891,0,mouse,embryo,72,MTT,2.92666666666667,Small
1677,ID_1777,SiO2,21.06,-35.9,NIH3T3,No,0.1,34.921,0,mouse,embryo,72,MTT,2.92666666666667,Small
1678,ID_1778,SiO2,21.06,-35.9,NIH3T3,No,0.05,38.095,0,mouse,embryo,72,MTT,2.92666666666667,Small
1679,ID_1779,SiO2,100.33,-35.9,NIH3T3,No,0.1,31.973,0,mouse,embryo,72,MTT,2.92666666666667,Small
1680,ID_1780,SiO2,199.89,-35.9,NIH3T3,No,0.01,42.177,0,mouse,embryo,72,MTT,2.92666666666667,Small
1681,ID_1781,SiO2,199.89,-35.9,NIH3T3,No,0.05,29.252,0,mouse,embryo,72,MTT,2.92666666666667,Small
1682,ID_1782,SiO2,59.72,-35.9,NIH3T3,No,0.01,108.05,0,mouse,embryo,24,MTT,2.92666666666667,Small
1683,ID_1783,SiO2,59.72,-35.9,NIH3T3,No,0.05,54.146,0,mouse,embryo,24,MTT,2.92666666666667,Small
1684,ID_1784,SiO2,59.72,-35.9,NIH3T3,No,0.1,49.512,0,mouse,embryo,24,MTT,2.92666666666667,Small
1685,ID_1785,SiO2,18.3,-35.9,SIRC,No,0.01,94.247,0,rabbit,cornea,24,MTT,2.92666666666667,Small
1686,ID_1787,SiO2,59.72,-35.9,HepG2,Yes,0.2,62.774,0,human,liver,24,MTT,2.92666666666667,Small
1687,ID_1788,SiO2,100.33,-35.9,HepG2,Yes,0.5,55.862,0,human,liver,72,MTT,2.92666666666667,Small
1688,ID_1789,SiO2,12.0,-35.9,RAW 264.7,Yes,0.4,24.89,0,mouse,ascites,24,CCK-8,2.92666666666667,Small
1689,ID_1790,SiO2,199.89,-35.9,HepG2,Yes,0.05,55.172,0,human,liver,72,MTT,2.92666666666667,Small
1690,ID_1791,SiO2,199.89,-35.9,HepG2,Yes,0.1,54.023,0,human,liver,72,MTT,2.92666666666667,Small
1691,ID_1792,SiO2,199.89,-35.9,HepG2,Yes,0.2,51.264,0,human,liver,72,MTT,2.92666666666667,Small
1692,ID_1793,SiO2,199.89,-35.9,HepG2,Yes,0.5,51.034,0,human,liver,72,MTT,2.92666666666667,Small
1693,ID_1794,SiO2,18.3,-35.9,SIRC,No,0.001,96.277,0,rabbit,cornea,24,MTT,2.92666666666667,Small
1694,ID_1795,SiO2,59.72,-35.9,HepG2,Yes,0.01,95.172,0,human,liver,72,MTT,2.92666666666667,Small
1695,ID_1796,SiO2,50.0,-35.9,HUVEC,No,0.025,89.552,0,human,umbilical vein,24,CCK-8,2.92666666666667,Small
1696,ID_1797,SiO2,21.06,-35.9,A549,Yes,0.1,61.29,0,human,lung,24,MTT,2.92666666666667,Small
1697,ID_1798,SiO2,120.0,-35.9,A549,Yes,0.2,86.111,0,human,lung,96,MTT,2.92666666666667,Small
1698,ID_1799,SiO2,60.0,32.0,HUVEC,No,1.5021075e-08,105.36585,0,human,umbilical cord,48,AlamarBlue,2.92666666666667,Small
1699,ID_1800,SiO2,60.0,32.0,HUVEC,No,1.5021075e-08,103.870964,0,human,umbilical cord,96,AlamarBlue,2.92666666666667,Small
1700,ID_1801,SiO2,60.0,32.0,HUVEC,No,1.5021075e-10,108.29269,0,human,umbilical cord,48,AlamarBlue,2.92666666666667,Small
1701,ID_1802,SiO2,14.0,-35.9,RAW 264.7,Yes,3.93072914690103e-08,20.221264,0,mouse,blood,24,LDH,2.92666666666667,Small
1702,ID_1803,SiO2,14.0,-35.9,RAW 264.7,Yes,1.96536457345051e-07,22.880486,0,mouse,blood,24,LDH,2.92666666666667,Small
1703,ID_1804,SiO2,14.0,-35.9,RAW 264.7,Yes,3.93072914690103e-07,33.116215,0,mouse,blood,24,LDH,2.92666666666667,Small
1704,ID_1805,SiO2,369.0,79.0,primary alveolar epithelial cells,No,7.15577823623686e-10,87.08861,0,human,lung,24,Vialight,2.92666666666667,Small
1705,ID_1806,SiO2,369.0,79.0,RAW 264.7,Yes,1.0733667354355301e-10,77.90576,0,mouse,blood,24,Vialight,2.92666666666667,Small
1706,ID_1807,SiO2,369.0,79.0,RAW 264.7,Yes,1.0733667354355301e-10,59.47644,0,mouse,blood,24,Vialight,2.92666666666667,Small
1707,ID_1808,SiO2,96.0,-11.0,Caco-2,Yes,3.2509647409988704e-09,96.585365,Digestive enzymes,human,colon,24,MTT,2.92666666666667,Small
1708,ID_1809,SiO2,369.0,79.0,A549,Yes,4.2934669417421203e-10,96.969696,0,human,lung,24,Vialight,2.92666666666667,Small
1709,ID_1810,SiO2,369.0,79.0,A549,Yes,1.0733667354355301e-10,123.63636,0,human,lung,24,Vialight,2.92666666666667,Small
1710,ID_1811,SiO2,375.4,-26.8,PC12,Yes,1.3591993626923801e-09,71.73913,Phosphonate,rat,adrenal gland,12,MTT,2.92666666666667,Small
1711,ID_1812,SiO2,29.5,-35.9,Caco-2,Yes,5.32173837449352e-08,103.35135,0,human,colon,4,Vialight,2.92666666666667,Small
1712,ID_1813,SiO2,29.5,-35.9,Caco-2,Yes,2.17557583155919e-07,104.0,0,human,colon,4,Vialight,2.92666666666667,Small
1713,ID_1814,SiO2,29.5,-35.9,Caco-2,Yes,4.38342542951795e-07,100.54054,0,human,colon,4,Vialight,2.92666666666667,Small
1714,ID_1815,SiO2,14.0,-35.9,RAW 264.7,Yes,1.57229165876041e-06,40.700413,0,mouse,blood,24,LDH,2.92666666666667,Small
1715,ID_1816,SiO2,14.0,-35.9,RAW 264.7,Yes,3.14458331752082e-06,41.845173,0,mouse,blood,24,LDH,2.92666666666667,Small
1716,ID_1817,SiO2,96.0,-11.0,Caco-2,Yes,3.2509647409988704e-09,100.0,0,human,colon,24,Live/Dead,2.92666666666667,Small
1717,ID_1819,SiO2,15.0,-35.9,A549,Yes,0.1,58.048,0,human,lung,72,MTT,2.92666666666667,Small
1718,ID_1820,SiO2,15.0,-35.9,A549,Yes,0.05,74.018,0,human,lung,72,MTT,2.92666666666667,Small
1719,ID_1821,SiO2,15.0,-35.9,A549,Yes,0.025,87.072,0,human,lung,72,MTT,2.92666666666667,Small
1720,ID_1822,SiO2,15.0,-35.9,A431,Yes,0.2,48.923,0,human,skin,72,MTT,2.92666666666667,Small
1721,ID_1823,SiO2,15.0,-35.9,A431,Yes,0.05,76.933,0,human,skin,72,MTT,2.92666666666667,Small
1722,ID_1824,SiO2,15.0,-35.9,A431,Yes,0.025,88.973,0,human,skin,72,MTT,2.92666666666667,Small
1723,ID_1826,SiO2,15.0,-35.9,A431,Yes,0.1,59.949,0,human,skin,72,MTT,2.92666666666667,Small
1724,ID_1827,SiO2,375.4,-26.8,PC12,Yes,3.3979984067309503e-10,102.45614,Phosphonate,rat,adrenal gland,24,MTT,2.92666666666667,Small
1725,ID_1828,SiO2,96.0,-11.0,Caco-2,Yes,3.2509647409988704e-09,105.3684,0,human,colon,24,LDH,2.92666666666667,Small
1726,ID_1829,SiO2,375.4,-26.8,PC12,Yes,1.69899920336548e-10,94.03509,Phosphonate,rat,adrenal gland,24,MTT,2.92666666666667,Small
1727,ID_1830,SiO2,14.0,-35.9,RAW 264.7,Yes,3.93072914690103e-07,107.182915,0,mouse,blood,24,"-1,00 WST",2.92666666666667,Small
1728,ID_1831,SiO2,14.0,-35.9,RAW 264.7,Yes,1.96536457345051e-07,127.95955,0,mouse,blood,24,"-1,00 WST",2.92666666666667,Small
1729,ID_1832,SiO2,369.0,79.0,primary tissue Macrophage,No,1.0733667354355301e-10,121.77778,0,human,lung,24,Vialight,2.92666666666667,Small
1730,ID_1833,SiO2,369.0,79.0,primary tissue Macrophage,No,4.2934669417421203e-10,3.5555556,0,human,lung,24,Vialight,2.92666666666667,Small
1731,ID_1834,SiO2,240.0,58.0,A549,Yes,3.90115768919865e-10,112.323235,0,human,lung,24,Vialight,2.92666666666667,Small
1732,ID_1835,SiO2,240.0,58.0,A549,Yes,1.5604630756794602e-09,113.93939,0,human,lung,24,Vialight,2.92666666666667,Small
1733,ID_1836,SiO2,240.0,58.0,RAW 264.7,Yes,1.5604630756794602e-09,76.23037,0,mouse,blood,24,Vialight,2.92666666666667,Small
1734,ID_1837,SiO2,240.0,58.0,primary alveolar epithelial cells,No,2.6007717927991e-09,87.08861,0,human,lung,24,Vialight,2.92666666666667,Small
1735,ID_1838,SiO2,240.0,58.0,primary alveolar Macrophage,No,3.90115768919865e-10,104.888885,0,human,lung,24,Vialight,2.92666666666667,Small
1736,ID_1839,SiO2,240.0,58.0,primary alveolar Macrophage,No,1.5604630756794602e-09,87.111115,0,human,lung,24,Vialight,2.92666666666667,Small
1737,ID_1840,SiO2,240.0,58.0,primary tissue Macrophage,No,3.90115768919865e-10,142.22223,0,human,lung,24,Vialight,2.92666666666667,Small
1738,ID_1841,SiO2,369.0,79.0,RAW 264.7,Yes,4.2934669417421203e-10,32.67016,0,mouse,blood,24,Vialight,2.92666666666667,Small
1739,ID_1842,SiO2,60.0,32.0,HUVEC,No,1.5021075e-09,110.243904,0,human,umbilical cord,48,AlamarBlue,2.92666666666667,Small
1740,ID_1843,SiO2,598.2,87.0,A549,Yes,1.00773883622121e-10,104.242424,0,human,lung,24,Vialight,2.92666666666667,Small
1741,ID_1844,SiO2,598.2,87.0,RAW 264.7,Yes,2.5193470905530396e-11,62.827225,0,mouse,blood,24,Vialight,2.92666666666667,Small
1742,ID_1845,SiO2,598.2,87.0,RAW 264.7,Yes,1.00773883622121e-10,44.397907,0,mouse,blood,24,Vialight,2.92666666666667,Small
1743,ID_1846,SiO2,598.2,87.0,primary alveolar epithelial cells,No,1.67956472703536e-10,82.025314,0,human,lung,24,Vialight,2.92666666666667,Small
1744,ID_1847,SiO2,598.2,87.0,primary alveolar Macrophage,No,2.5193470905530396e-11,87.703705,0,human,lung,24,Vialight,2.92666666666667,Small
1745,ID_1848,SiO2,598.2,87.0,primary alveolar Macrophage,No,1.00773883622121e-10,69.92593,0,human,lung,24,Vialight,2.92666666666667,Small
1746,ID_1849,SiO2,598.2,87.0,primary tissue Macrophage,No,2.5193470905530396e-11,115.55556,0,human,lung,24,Vialight,2.92666666666667,Small
1747,ID_1850,SiO2,598.2,87.0,primary tissue Macrophage,No,1.00773883622121e-10,68.14815,0,human,lung,24,Vialight,2.92666666666667,Small
1748,ID_1851,SiO2,14.0,-35.9,RAW 264.7,Yes,3.93072914690103e-08,111.00218,0,mouse,blood,24,"-1,00 WST",2.92666666666667,Small
1749,ID_1852,SiO2,598.2,87.0,A549,Yes,2.5193470905530396e-11,121.21212,0,human,lung,24,Vialight,2.92666666666667,Small
1750,ID_1853,SiO2,14.0,-35.9,RAW 264.7,Yes,1.57229165876041e-06,75.0876,0,mouse,blood,24,"-1,00 WST",2.92666666666667,Small
1751,ID_1854,SiO2,14.0,-35.9,RAW 264.7,Yes,3.14458331752082e-06,64.68624,0,mouse,blood,24,"-1,00 WST",2.92666666666667,Small
1752,ID_1855,SiO2,240.0,58.0,primary tissue Macrophage,No,1.5604630756794602e-09,108.44444,0,human,lung,24,Vialight,2.92666666666667,Small
